Order,Family ,Taxa,Endemic_Revised,
Perciformes,Labridae,Coris gaimard,0,
Perciformes,Labridae,Coris venusta,1,
Perciformes,Labridae,Cymolutes lecluse,1,
Perciformes,Labridae,Cymolutes praetextatus,0,
Perciformes,Labridae,Gomphosus varius,0,
Perciformes,Labridae,Halichoeres ornatissimus,1,
Perciformes,Labridae,Iniistius aneitensis,0,
Perciformes,Labridae,Iniistius pavo,0,
Perciformes,Labridae,Iniistius umbrilatus,1,
Perciformes,Labridae,Labroides phthirophagus,1,
Perciformes,Labridae,Macropharyngodon geoffroy,1,
Perciformes,Labridae,Novaculichthys taeniourus,0,
Perciformes,Labridae,Oxycheilinus bimaculatus,0,
Perciformes,Labridae,Oxycheilinus unifasciatus,0,
Perciformes,Labridae,Pseudocheilinus evanidus,0,
Perciformes,Labridae,Pseudocheilinus octotaenia,0,
Perciformes,Labridae,Pseudocheilinus tetrataenia,0,
Perciformes,Labridae,Pseudojuloides cerasinus,0,
Perciformes,Labridae,Stethojulis balteata,1,
Perciformes,Labridae,Thalassoma ballieui,1,
Perciformes,Labridae,Thalassoma duperrey,1,
Perciformes,Labridae,Thalassoma lutescens,0,
Perciformes,Labridae,Thalassoma purpureum,0,
Perciformes,Labridae,Thalassoma quinquevittatum,0,
Perciformes,Labridae,Thalassoma trilobatum,0,
Perciformes,Lethrinidae,Monotaxis grandoculis,0,
Perciformes,Lutjanidae ,Aphareus furca,0,
Perciformes,Lutjanidae ,Aprion virescens,0,
Perciformes,Lutjanidae ,Lutjanus fulvus,0,
Perciformes,Lutjanidae ,Lutjanus kasmira,0,
Perciformes,Malacanthidae,Malacanthus brevirostris,0,
Perciformes,Microdesmidae,Gunnellichthys curiosus,0,
Perciformes,Microdesmidae,Nemateleotris magnifica,0,
Perciformes,Microdesmidae,Ptereleotris heteroptera,0,
Tetraodontiformes,Monacanthidae,Aluterus scriptus,0,
Tetraodontiformes,Monacanthidae,Cantherhines dumerilii,0,
Tetraodontiformes,Monacanthidae,Cantherhines sandwichiensis,1,
