"","Order","Family","Genera","Taxa","iucn_shapefile","molecular_data","iucn_names","Endemic_Revised","depth_upper","depth_lower","main_islands","nwhi","total"
"42","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_blochii",1,1,"Acanthurus blochii",0,2,50,0.014041815,0.014309675,0.02835149
"43","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_dussumieri",1,1,"Acanthurus dussumieri",0,4,131,0.012603902,0.012849587,0.02545349
"44","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_guttatus",1,1,"Acanthurus guttatus",0,1,6,0.014022456,0.014289947,0.028312403
"45","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_leucopareius",1,0,"Acanthurus leucopareius",0,1,85,0.056094052,0.057187479,0.113281531
"46","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_lineatus",1,1,"Acanthurus lineatus",0,0,15,0.001500085,0,0.001500085
"47","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_maculiceps",0,0,NA,NA,NA,NA,NA,NA,NA
"48","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_nigricans",1,1,"Acanthurus nigricans",0,0,67,0.011578637,0.011799509,0.023378146
"49","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_nigrofuscus",1,1,"Acanthurus nigrofuscus",0,0,25,0.008989541,0.009164772,0.018154313
"50","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_nigroris",1,1,"Acanthurus nigroris",1,1,90,0.430492044,0.438883521,0.869375565
"51","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_olivaceus",1,1,"Acanthurus olivaceus",0,3,83,0.012706006,0.012954303,0.02566031
"52","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_thompsoni",1,1,"Acanthurus thompsoni",0,4,119,0.01031628,0.010517373,0.020833653
"53","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_triostegus",1,1,"Acanthurus triostegus",0,0,90,0.008940229,0.009114499,0.018054729
"54","Perciformes","Acanthuridae","Acanthurus ","Acanthurus_xanthopterus",1,1,"Acanthurus xanthopterus",1,1,120,0.009973253,3.929697222,3.939670475
"55","Perciformes","Acanthuridae","Ctenochaetus","Ctenochaetus_hawaiiensis",1,1,"Ctenochaetus hawaiiensis",0,1,61,0.034367563,0.00556781,0.039935374
"56","Perciformes","Acanthuridae","Ctenochaetus","Ctenochaetus_strigosus",1,1,"Ctenochaetus strigosus",1,1,113,0.430459854,0.438896076,0.86935593
"57","Perciformes","Acanthuridae","Naso","Naso_annulatus",1,1,"Naso annulatus",0,1,60,0.011204727,0.011423139,0.022627866
"58","Perciformes","Acanthuridae","Naso","Naso_brevirostris",1,1,"Naso brevirostris",0,2,122,0.00901047,0.009186109,0.018196579
"59","Perciformes","Acanthuridae","Naso","Naso_caesius",1,1,"Naso caesius",0,3,50,0.030258711,0.030828182,0.061086893
"60","Perciformes","Acanthuridae","Naso","Naso_hexacanthus",1,1,"Naso hexacanthus",0,6,229,0.010025796,0.010221227,0.020247023
"61","Perciformes","Acanthuridae","Naso","Naso_lituratus",1,1,"Naso lituratus",0,0,90,0.012017799,0.012252059,0.024269858
"62","Perciformes","Acanthuridae","Naso","Naso_maculatus",1,1,"Naso maculatus",0,20,220,0.126656528,0.129125412,0.25578194
"63","Perciformes","Acanthuridae","Naso","Naso_unicornis",1,1,"Naso unicornis",0,0,80,0.009176076,0.009354943,0.018531019
"64","Perciformes","Acanthuridae","Zebrasoma","Zebrasoma_flavescens",1,1,"Zebrasoma flavescens",0,1,81,0.071779737,0.073178922,0.144958659
"65","Perciformes","Acanthuridae","Zebrasoma","Zebrasoma_velifer",1,1,"Zebrasoma veliferum",0,1,30,0.011461073,0.011676771,0.023137845
"66","Perciformes","Apogonidae ","Apolemichthys","Apolemichthys_arcuatus",1,0,"Apolemichthys arcuatus",1,10,183,0.43196999,0.440099686,0.872069676
"67","Perciformes","Apogonidae ","Ostorhinchus","Ostorhinchus_maculiferus",1,0,NA,NA,NA,NA,NA,NA,NA
"68","Perciformes","Apogonidae ","Pristiapogon","Pristiapogon_kallopterus",1,1,NA,NA,NA,NA,NA,NA,NA
"69","Perciformes","Blenniidae ","Cirripectes","Cirripectes_obscurus",1,0,"Cirripectes obscurus",1,0,6,0.465690699,0.47445502,0.940145719
"70","Perciformes","Blenniidae ","Cirripectes","Cirripectes_vanderbilti",1,0,"Cirripectes vanderbilti",1,1,11,0.43196999,0.440099686,0.872069676
"71","Perciformes","Blenniidae ","Entomacrodus","Entomacrodus_marmoratus",1,0,"Entomacrodus marmoratus",1,0,6,0.465690699,0.47445502,0.940145719
"72","Perciformes","Blenniidae ","Epibulus","Epibulus_insidiator",1,1,"Epibulus insidiator",0,1,42,0.004236081,0.010480398,0.014716479
"73","Perciformes","Blenniidae ","Exallias","Exallias_brevis",1,0,"Exallias brevis",0,3,20,0.011237188,0.011448673,0.022685861
"74","Perciformes","Blenniidae ","Plagiotremus","Plagiotremus_ewaensis",1,0,"Plagiotremus ewaensis",1,2,55,0.465690699,0.47445502,0.940145719
"75","Perciformes","Blenniidae ","Plagiotremus","Plagiotremus_goslinei",1,0,"Plagiotremus goslinei",1,1,15,0.829699112,0.134205398,0.96390451
"76","Perciformes","Carangidae ","Seriola","Seriola_dumerili",1,1,"Seriola dumerili",0,10,360,0.006230465,0.006436697,0.012667162
"77","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_auriga",1,1,"Chaetodon auriga",0,1,61,0.00817164,0.008325378,0.016497019
"78","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_citrinellus",1,1,"Chaetodon citrinellus",0,1,36,0.010972938,0.008455176,0.019428114
"79","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_ephippium",1,1,"Chaetodon ephippium",0,1,30,0.012882346,0.008016139,0.020898485
"80","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_fremblii",1,1,"Chaetodon fremblii",1,1,128,0.465691718,0.474453033,0.940144751
"81","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_kleinii",1,1,"Chaetodon kleinii",0,2,61,0.011061898,0.006883351,0.017945249
"82","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_lineolatus",1,1,"Chaetodon lineolatus",0,2,171,0.009511291,4.54e-05,0.009556721
"83","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_lunula",1,1,"Chaetodon lunula",0,1,60,0.009230853,0.007112815,0.016343668
"84","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_lunulatus",1,1,"Chaetodon lunulatus",0,1,25,0.011177828,0.003514525,0.014692353
"85","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_miliaris",1,1,"Chaetodon miliaris",1,0,250,0.431970451,0.440097349,0.8720678
"86","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_multicinctus",1,1,"Chaetodon multicinctus",1,5,114,0.431970451,0.440097349,0.8720678
"87","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_ornatissimus",1,1,"Chaetodon ornatissimus",0,1,36,0.011356205,0.011569855,0.02292606
"88","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_quadrimaculatus",1,1,"Chaetodon quadrimaculatus",0,2,43,0.031732963,0.024451771,0.056184734
"89","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_reticulatus",1,1,"Chaetodon reticulatus",0,1,30,0.019309185,9.22e-05,0.019401414
"90","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_tinkeri",1,1,"Chaetodon tinkeri",0,6,160,0.497240321,0.080429336,0.577669657
"91","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_trifascialis",1,1,"Chaetodon trifascialis",0,2,30,0,0.002968926,0.002968926
"92","Perciformes","Chaetodontidae ","Chaetodon","Chaetodon_unimaculatus",1,1,"Chaetodon unimaculatus",0,1,60,0.010860223,0.011064544,0.021924767
"93","Perciformes","Chaetodontidae ","Forcipiger","Forcipiger_flavissimus",1,1,"Forcipiger flavissimus",0,2,145,0.009360779,0.009536888,0.018897667
"94","Perciformes","Chaetodontidae ","Forcipiger","Forcipiger_longirostris",1,1,"Forcipiger longirostris",0,2,208,0.011940822,0.009200977,0.021141799
