Order,Family,Genera,iucn_names,Taxa,iucn_shapefile,molecular_data,depth_upper,depth_lower,nwhi,main_islands,total_prange,endemicity,missing_species
Carangiformes,Carangidae ,Carangoides,Carangoides ferdau,Carangoides_ferdau,1,1,1,60,0.008770863,0.008602045,0.017372908,0,0
Carangiformes,Carangidae ,Carangoides,Carangoides orthogrammus,Carangoides_orthogrammus,1,1,3,168,NA,NA,NA,NA,1
Tetraodontiformes,Tetraodontidae ,Caranx,Caranx ignobilis,Caranx_ignobilis,1,1,10,188,NA,NA,NA,NA,1
Tetraodontiformes,Tetraodontidae ,Caranx,Caranx lugubris,Caranx_lugubris,1,1,3,380,NA,NA,NA,NA,1
Tetraodontiformes,Tetraodontidae ,Caranx,Caranx melampygus,Caranx_melampygus,1,1,1,190,NA,NA,NA,NA,1
Tetraodontiformes,Tetraodontidae ,Caranx,Caranx sexfasciatus,Caranx_sexfasciatus,1,1,0,146,0.008260348,0.008119626,0.016379975,0,0
Perciformes,Pomacanthidae ,Centropyge,Centropyge fisheri,Centropyge_fisheri,1,0,3,60,0.012591397,0.011686299,0.024277696,0,1
Perciformes,Pomacanthidae ,Centropyge,Centropyge flavissima,Centropyge_flavissima,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacanthidae ,Centropyge,Centropyge interruptus,Centropyge_interrupta,1,0,15,60,0.078464571,0,0.078464571,0,1
Perciformes,Pomacanthidae ,Centropyge,Centropyge loricula,Centropyge_loriculus,1,1,15,60,0.013997655,0.029084947,0.043082601,0,0
Perciformes,Pomacanthidae ,Centropyge,Centropyge potteri,Centropyge_potteri,1,1,10,120,0.481085715,0.446504186,0.927589902,1,0
Perciformes,Serranidae ,Cephalopholis ,Cephalopholis argus ,Cephalopholis_argus,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon auriga,Chaetodon_auriga,1,1,1,61,0.009100717,0.008446601,0.017547318,0,0
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon citrinellus,Chaetodon_citrinellus,1,1,1,36,0.009129424,0.011342157,0.020471582,0,0
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon ephippium,Chaetodon_ephippium,1,1,1,30,0.008573679,0.013315813,0.021889492,0,0
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon fremblii,Chaetodon_fremblii,1,1,1,128,0.518638615,0.481361384,0.999999999,1,0
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon kleinii,Chaetodon_kleinii,1,1,2,61,0.007362103,0.01143411,0.018796214,0,0
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon lineolatus,Chaetodon_lineolatus,1,1,2,171,NA,NA,NA,NA,1
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon lunula,Chaetodon_lunula,1,1,1,60,0.007680019,0.009541454,0.017221473,0,0
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon lunulatus,Chaetodon_lunulatus,1,1,1,25,0.003750054,0.011553941,0.015303996,0,0
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon miliaris,Chaetodon_miliaris,1,1,0,250,NA,NA,NA,NA,1
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon multicinctus,Chaetodon_multicinctus,1,1,5,114,0.481083403,0.446505459,0.927588862,1,0
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon ornatissimus,Chaetodon_ornatissimus,1,1,1,36,0.01264735,0.01173832,0.02438567,0,0
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon quadrimaculatus,Chaetodon_quadrimaculatus,1,1,2,43,0.026401651,0.032800718,0.059202369,0,0
