Order,Family ,Genera,Taxa,Endemic_Revised,iucn_shapefile,molecular_data,depth_min,depth_max,trophic_level,activity,body_size,larval_dispersal,PLD
Tetraodontiformes,Balistidae ,Rhinecanthus,Rhinecanthus_aculeatus,0,0,1,,,,,,,
Tetraodontiformes,Balistidae ,Rhinecanthus,Rhinecanthus_rectangulus,0,0,1,,,,,,,
Perciformes,Sphyraenidae ,Sphyraena,Sphyraena_barracuda,0,0,1,,,,,,,
Perciformes,Sphyraenidae ,Sphyraena,Sphyraena_helleri,0,0,1,,,,,,,
Tetraodontiformes,Balistidae ,Sufflamen,Sufflamen_bursa,0,0,1,,,,,,,
Tetraodontiformes,Balistidae ,Xanthichthys,Xanthichthys_auromarginatus,0,0,1,,,,,,,
Perciformes,Pomacentridae,Abudefduf,Abudefduf_abdominalis,1,1,1,,,,,,,
Perciformes,Pomacentridae,Abudefduf,Abudefduf_sordidus,0,1,1,,,,,,,
Perciformes,Pomacentridae,Abudefduf,Abudefduf_vaigiensis,0,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_achilles,0,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_blochii,0,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_dussumieri,0,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_guttatus,0,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_lineatus,0,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_nigricans,0,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_nigrofuscus,0,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_nigroris,1,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_olivaceus,0,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_thompsoni,0,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_triostegus,0,1,1,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_xanthopterus,0,1,1,,,,,,,
Tetraodontiformes,Monacanthidae,Aluterus,Aluterus_scriptus,0,1,1,,,,,,,
Perciformes,Cirrhitidae,Amblycirrhitus,Amblycirrhitus_bimacula,0,1,1,,,,,,,
Perciformes,Labridae,Anampses,Anampses_chrysocephalus,1,1,1,,,,,,,
Perciformes,Labridae,Anampses,Anampses_cuvier,1,1,1,,,,,,,
Perciformes,Lutjanidae ,Aphareus,Aphareus_furca,0,1,1,,,,,,,
Perciformes,Lutjanidae ,Aprion,Aprion_virescens,0,1,1,,,,,,,
Tetraodontiformes,Tetaodontidae ,Arothron,Arothron_hispidus,0,1,1,,,,,,,
Tetraodontiformes,Tetraodontidae ,Arothron,Arothron_meleagris,0,1,1,,,,,,,
Sygnathiformes ,Aulostomidae ,Aulostomus,Aulostomus_chinensis,0,1,1,,,,,,,
Tetraodontiformes,Balistidae ,Balistes,Balistes_polylepis,0,1,1,,,,,,,
Pleuronectiformes,Bothidae,Bothus,Bothus_mancus,0,1,1,,,,,,,
Ophidiiformes,Ophidiidae ,Brotula,Brotula_multibarbata,0,1,1,,,,,,,
Perciformes,Scaridae ,Calotomus,Calotomus_carolinus,0,1,1,,,,,,,
Perciformes,Scaridae ,Calotomus,Calotomus_zonarchus,1,1,1,,,,,,,
Tetraodontiformes,Monacanthidae,Cantherhines,Cantherhines_dumerilii,0,1,1,,,,,,,
Tetraodontiformes,Monacanthidae,Cantherhines,Cantherhines_sandwichiensis,1,1,1,,,,,,,
Tetraodontiformes,Monacanthidae,Cantherhines,Cantherhines_verecundus,1,1,1,,,,,,,
Tetraodontiformes,Tetraodontidae ,Canthigaster,Canthigaster_amboinensis,0,1,1,,,,,,,
Tetraodontiformes,Tetraodontidae ,Canthigaster,Canthigaster_coronata,0,1,1,,,,,,,
Tetraodontiformes,Tetraodontidae ,Canthigaster,Canthigaster_jactator,1,1,1,,,,,,,
Tetraodontiformes,Tetraodontidae ,Canthigaster,Canthigaster_solandri,0,1,1,,,,,,,
Carangiformes,Carangidae ,Carangoides,Carangoides_ferdau,0,1,1,,,,,,,
Carangiformes,Carangidae ,Carangoides,Carangoides_orthogrammus,0,1,1,,,,,,,
Tetraodontiformes,Tetraodontidae ,Caranx,Caranx_ignobilis,0,1,1,,,,,,,
Tetraodontiformes,Tetraodontidae ,Caranx,Caranx_lugubris,0,1,1,,,,,,,
Tetraodontiformes,Tetraodontidae ,Caranx,Caranx_melampygus,0,1,1,,,,,,,
Tetraodontiformes,Tetraodontidae ,Caranx,Caranx_sexfasciatus,0,1,1,,,,,,,
Perciformes,Pomacanthidae ,Centropyge,Centropyge_flavissima,0,1,1,,,,,,,
Perciformes,Pomacanthidae ,Centropyge,Centropyge_loriculus,0,1,1,,,,,,,
Perciformes,Pomacanthidae ,Centropyge,Centropyge_potteri,1,1,1,,,,,,,
Perciformes,Serranidae ,Cephalopholis ,Cephalopholis_argus,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_auriga,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_citrinellus,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_ephippium,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_fremblii,1,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_kleinii,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_lineolatus,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_lunula,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_lunulatus,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_miliaris,1,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_multicinctus,1,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_ornatissimus,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_quadrimaculatus,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_reticulatus,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_tinkeri,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_trifascialis,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon_unimaculatus,0,1,1,,,,,,,
Perciformes,Labridae,Cheilio,Cheilio_inermis,0,1,1,,,,,,,
Perciformes,Scaridae ,Chlorurus,Chlorurus_spilurus,0,1,1,,,,,,,
Perciformes,Cirrhitidae,Cirrhitus,Cirrhitus_pinnulatus,0,1,1,,,,,,,
Perciformes,Labridae,Coris,Coris_flavovittata,1,1,1,,,,,,,
Perciformes,Labridae,Coris,Coris_gaimard,0,1,1,,,,,,,
Perciformes,Acanthuridae,Ctenochaetus,Ctenochaetus_hawaiiensis,0,1,1,,,,,,,
